RPM,A_mean,A_std,A_rms,A_min,A_max,A_peak,A_skewness,A_kurtosis,A_crest_factor,A_dominant_freq,A_spectral_centroid,A_spectral_entropy,H_mean,H_std,H_rms,H_min,H_max,H_peak,H_skewness,H_kurtosis,H_crest_factor,H_dominant_freq,H_spectral_centroid,H_spectral_entropy,V_mean,V_std,V_rms,V_min,V_max,V_peak,V_skewness,V_kurtosis,V_crest_factor,V_dominant_freq,V_spectral_centroid,V_spectral_entropy,Flow Rate
100,0.009657443201085114,0.0928610613800237,0.09336189227841685,-0.404,0.343,0.404,0.020957872126703758,0.032325017906703835,4.327247339794929,31.25127161749745,2804.630752231239,7.947789928549424,0.005666666666666667,0.15430881840940214,0.15441283155883437,-0.587,0.529,0.587,-0.03831110460732945,-0.20996533558649055,3.801497544433937,19.097999321804,2658.4034524041003,7.8635569724339875,0.007723363852153272,0.09067809302605849,0.09100641133478052,-0.397,0.363,0.397,-0.08635354305037121,0.7008057659759332,4.362330018042101,72.91963377416073,2960.040070521711,8.0598917251742,3.39
100,0.007561614106476772,0.07927704629600597,0.07963685125188177,-0.295,0.304,0.304,0.03454009091002076,0.0015437846516701548,3.8173282245738798,20.834181078331635,2850.823591186668,8.056326476814617,0.005386232621227534,0.08914784067946306,0.08931040812615797,-0.386,0.408,0.408,0.13524554608748562,0.6032173197476824,4.568336530538164,19.097999321804,3087.6692912349627,8.112969756041833,0.007322889114954221,0.10519665374736101,0.10545122410210361,-0.472,0.445,0.472,0.005053829698884882,0.690456610279067,4.476003043293114,22.57036283485927,2700.451157654137,7.9890618393194845,3.39
1000,-0.03600834181078333,4.550838133903292,4.550980589023465,-10.545,11.022,11.022,0.20415313803208385,-0.7483327573010623,2.4218956298306398,19.097999321804,843.7567458474524,6.3012414978357745,-0.15563228212953553,7.202694971417814,7.2043761880213,-14.356,15.347,15.347,-0.009331684416583216,-0.8894894346127531,2.130233013861411,19.097999321804,500.5663591130687,5.343768667504192,0.02184089521871823,2.690358759921524,2.690447412939052,-6.889,6.12,6.889,-0.065481228568147,-0.9461491770121739,2.560540662073167,19.097999321804,1075.3888368735286,6.510000687339184,17.37
1000,0.13790417090539167,4.4374788555891564,4.4396211723697725,-11.001,11.394,11.394,0.16250085813836448,-0.6494091753169586,2.5664351884145407,26.042726347914545,746.688625513053,6.38739497305818,-0.18750328925059342,7.168559790875271,7.1710115715171945,-13.564,14.202,14.202,0.026563400794710854,-1.0610865092965667,1.980473725130977,19.097999321804,780.4842978928192,5.620266758228943,0.045002916242794205,2.475498679368409,2.4759077070894815,-8.422,5.766,8.422,-0.16632139173733154,-0.5036333545096134,3.401580751933748,19.097999321804,922.599217282306,6.433640539644401,17.37
1025,0.030179925398440253,4.057775962895155,4.057888193746441,-9.595,12.104,12.104,0.16737333895358542,-0.5519036007060061,2.9828323063837283,20.834181078331635,1139.1267607385503,6.645817925419288,0.11376751441166492,5.358146038094736,5.3593536935796395,-14.869,9.121,14.869,-0.5729400278387008,-0.6149633213159915,2.7744017003043964,19.097999321804,1191.1597032373475,6.394498559845882,-0.0644741268226517,2.576818507562022,2.5776249793062815,-8.896,6.065,8.896,-0.3649792214793585,0.02663102525611416,3.4512390558824384,20.834181078331635,894.1428414987741,6.396224634429034,17.37
1025,0.060293726687012605,4.084394191623979,4.084839194637839,-9.604,10.35,10.35,0.20464539184346356,-0.6433257823894598,2.5337594717526275,19.097999321804,1111.843128709837,6.639504326925068,-0.08259647338080703,5.460301852987494,5.4609265242405165,-12.067,9.91,12.067,-0.1736968380361058,-1.038797199515218,2.2096982895550363,20.834181078331635,728.4540913005926,5.700880243550244,-0.014208613089182798,2.526956912653371,2.526996858544263,-7.263,5.575,7.263,-0.21263634643954002,-0.6861184186242868,2.8741626549484613,20.834181078331635,1034.2615521046746,6.5082435621506525,17.37
1050,0.021988470668023105,4.08144149099611,4.081500721213567,-9.74,9.565,9.74,0.033925026747794046,-0.8286200831707564,2.386377135590453,20.834181078331635,991.1821899024901,6.527449323432187,0.08660908782638178,4.62481528556041,4.6256261802752,-13.249,10.763,13.249,-0.7011662480298266,-0.20135149357518944,2.8642608554268767,20.834181078331635,694.2224758975412,5.870737729311715,0.07976629365886738,2.7267040624026704,2.7278705441291193,-8.622,5.897,8.622,-0.28521440174841156,-0.6211109347200905,3.160707174523415,20.834181078331635,970.0768531076312,6.471950433017499,18.37
1050,0.12542604272634797,3.722757192400637,3.7248695018436107,-9.629,10.18,10.18,0.23928001709178107,-0.6636478816949882,2.7329816507562064,20.834181078331635,734.3327805872174,6.347971271802781,0.08067561885384877,4.261682422442038,4.262445967426319,-11.523,8.903,11.523,-0.5513755427288013,-0.5544181473099901,2.7033773772286973,20.834181078331635,983.0060001111381,6.155937708381107,0.051209901661580175,2.5402022178397723,2.5407183554157053,-8.077,5.222,8.077,-0.3467163945803315,-0.6197542371790918,3.17902217803219,20.834181078331635,1093.2903267985082,6.61623949258536,18.37
1075,-0.010936046117327935,4.243253973233584,4.243268065827007,-10.432,10.137,10.432,-0.06212395944934345,-0.8793616082603215,2.4584824333898916,20.834181078331635,881.6765880678852,6.481685664191644,0.0641915903696168,4.357069885402801,4.357542718844894,-12.532,9.738,12.532,-0.649237138558594,-0.3134870754506953,2.8759327925354237,20.834181078331635,915.2484918227199,6.140808729298239,0.046271888775856244,3.16612466150558,3.1664627678033272,-8.889,6.596,8.889,-0.20991541993512738,-0.8537238517225676,2.8072333868515917,20.834181078331635,920.8565660339103,6.415793726238152,19.36
1075,-0.018394845710410324,3.5162468983177715,3.5162950132601307,-8.066,9.788,9.788,0.3207428293612904,-0.6451913752179061,2.78361171718782,20.834181078331635,787.5857826136962,6.422449141653631,0.05865717192268557,3.9510016947601483,3.951437087417125,-12.104,8.234,12.104,-0.6615840612275522,-0.3765350688954796,3.063189349146853,6.944727026110545,1138.6392529189386,6.344417588205599,0.02168389284503225,2.7421422834319866,2.742228016375463,-8.833,5.848,8.833,-0.521584771446509,-0.39358363312779776,3.2211034046960867,20.834181078331635,1219.905169333132,6.706339632993425,19.36
