Model,R2,MAE,MSE
LinearRegression,0.9912257512664456,1.1602787502621854,2.154357725538406
RandomForest,0.9978794784093044,0.44355428571428585,0.520655637857156
GradientBoosting,0.9988826503152407,0.3226951070772885,0.274344960872095
SVR,0.8017290772636536,4.156779526858339,48.68183101684708
KNN,0.991959984297233,1.0312571428571435,1.9740801142857167
XGBoost,0.997072779819498,0.5480723236628943,0.7187258535422941
